time,station,temp_c,temp_f,wind_speed_km,wind_speed_mi
2025-11-04 10:17:52 EST,KHGR,12,53.6,16.668,10.417499999999999
2025-11-04 10:46:01 EST,KHGR,13,55.4,18.504,11.565
2025-11-04 11:24:43 EST,KHGR,13,55.4,16.668,10.417499999999999
2025-11-04 11:50:02 EST,KHGR,14,57.2,18.504,11.565
2025-11-04 12:42:06 EST,KHGR,15,59,16.668,10.417499999999999
2025-11-04 13:29:38 EST,KHGR,16,60.8,18.504,11.565
2025-11-04 14:16:17 EST,KHGR,17,62.6,25.92,16.2
2025-11-04 14:38:18 EST,KHGR,17,62.6,20.376,12.735
2025-11-04 15:22:22 EST,KHGR,17,62.6,24.084,15.052499999999998
2025-11-04 15:45:40 EST,KHGR,17,62.6,24.084,15.052499999999998
2025-11-04 16:20:21 EST,KHGR,16,60.8,14.832,9.27
2025-11-04 16:39:16 EST,KHGR,16,60.8,20.376,12.735
2025-11-04 17:18:47 EST,KHGR,14,57.2,12.96,8.1
2025-11-04 17:42:47 EST,KHGR,13,55.4,11.124,6.9525
2025-11-04 18:18:33 EST,KHGR,12,53.6,14.832,9.27
2025-11-04 18:45:31 EST,KHGR,12,53.6,12.96,8.1
2025-11-04 20:27:52 EST,KHGR,11,51.8,9.252,5.7825
2025-11-04 21:57:10 EST,KHGR,11,51.8,7.416,4.635
2025-11-04 22:47:32 EST,KHGR,11,51.8,5.544,3.4649999999999994
2025-11-04 23:23:21 EST,KHGR,8,46.4,5.544,3.4649999999999994
2025-11-04 23:45:22 EST,KHGR,8,46.4,0,0
2025-11-05 00:22:35 EST,KHGR,8,46.4,9.252,5.7825
2025-11-05 00:43:34 EST,KHGR,7,44.6,9.252,5.7825
2025-11-05 01:31:37 EST,KHGR,8,46.4,9.252,5.7825
